;titulo;valor;data;skill;pais
0;Integrar o Chatgpt ao sistema Kommo, que já está integrado com o Whatsapp;USD 250 - 500;22 de Março de 2023 00:34;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Brasil
1;Integrar dados de um banco de dados Sql Server com Api de outro Erp;USD 250 - 500;20 de Março de 2023 17:41;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Brasil
2;Consultoria em Clickup;USD 250 - 500;22 de Março de 2023 12:18;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Brasil
3;Programa manejo de planos georeferenciados;USD 250 - 500;22 de Março de 2023 13:07;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Espanha
4;Programador de Odoo para personalizar funcionalidades;USD 250 - 500;22 de Março de 2023 10:21;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Espanha
5;Robo Iq Option Com Interface Web;USD 250 - 500;22 de Março de 2023 04:43;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Brasil
6;Bot Telegram;Menos de USD 50;21 de Março de 2023 23:21;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Brasil
7;Firmar Pdf con certificador P12;USD 50 - 100;22 de Março de 2023 03:37;['JavaScript', 'MySQL', 'PHP', 'API', 'Modelagem de Dados', 'Node.js', 'Python', 'JavaScript', 'MySQL', 'PHP', 'C', 'Java', 'Python', 'C', 'Java', 'Python', 'JavaScript', 'JavaScript', 'PostgresSQL', 'Python', 'Odoo', 'MySQL', 'PHP', 'API', 'Python', 'Design Gráfico', 'Ilustração', 'Adobe Illustrator', 'PHP', 'Java', 'JavaScript', 'Node.js', 'Python'];Equador
8;Integrar dados de um banco de dados Sql Server com Api de outro Erp;USD 250 - 500;20 de Março de 2023 17:41;['JavaScript', 'MySQL', 'PHP', 'Python', 'Python', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'HTML5', 'JavaScript', 'MySQL', 'PHP', 'Python', 'JavaScript', 'MySQL', 'PHP', 'CSS', 'HTML', 'HTML5', 'Python', 'JavaScript', 'MySQL', 'API', 'CSS', 'Django', 'HTML', 'HTML5', 'Python', 'Responsive Web Design'];Brasil
9;Extração de informações de nota fiscal;USD 100 - 250;20 de Março de 2023 14:25;['JavaScript', 'MySQL', 'PHP', 'Python', 'Python', 'JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Node.js', 'Python', 'HTML5', 'JavaScript', 'MySQL', 'PHP', 'Python', 'JavaScript', 'MySQL', 'PHP', 'CSS', 'HTML', 'HTML5', 'Python', 'JavaScript', 'MySQL', 'API', 'CSS', 'Django', 'HTML', 'HTML5', 'Python', 'Responsive Web Design'];Brasil
